liczba_przypadkow;zgony;zgony_w_wyniku_covid_bez_chorob_wspolistniejacych;zgony_w_wyniku_covid_i_chorob_wspolistniejacych;liczba_zlecen_poz;liczba_ozdrowiencow;liczba_osob_objetych_kwarantanna;liczba_wykonanych_testow;liczba_testow_z_wynikiem_pozytywnym;liczba_testow_z_wynikiem_negatywnym;liczba_pozostalych_testow;teryt;data_raportu;stan_rekordu_na;wojewodztwo
11008;400;122;278;14050;13359;170928;46724;12152;33485;1087;t00;20210101;NA;cały kraj
647;36;19;17;746;599;10738;4245;725;3436;84;t02;20210101;NA;Dolnośląskie
967;27;2;25;1393;1228;15336;3201;1111;1999;91;t04;20210101;NA;Kujawsko-pomorskie
388;21;13;8;634;627;7625;1718;424;1275;19;t06;20210101;NA;Lubelskie
343;17;15;2;384;408;5376;1308;371;912;25;t08;20210101;NA;Lubuskie
704;25;3;22;1006;968;11262;2842;770;2005;67;t10;20210101;NA;Łódzkie
388;22;17;5;605;514;6238;2237;425;1762;50;t12;20210101;NA;Małopolskie
1453;52;12;40;2267;1859;26130;6372;1594;4584;194;t14;20210101;NA;Mazowieckie
179;15;3;12;229;225;3710;872;197;661;14;t16;20210101;NA;Opolskie
261;36;11;25;285;277;4200;1690;337;1323;30;t18;20210101;NA;Podkarpackie
307;10;4;6;402;380;4244;1227;321;889;17;t20;20210101;NA;Podlaskie
1027;24;4;20;1316;1103;15458;4051;1143;2772;136;t22;20210101;NA;Pomorskie
885;30;2;28;1100;1226;13644;3814;958;2776;80;t24;20210101;NA;Śląskie
192;8;3;5;167;213;2503;1302;268;997;37;t26;20210101;NA;Świętokrzyskie
825;11;1;10;952;1006;11403;2365;861;1453;51;t28;20210101;NA;Warmińsko-mazurskie
1249;48;12;36;1493;1429;18830;3914;1336;2502;76;t30;20210101;NA;Wielkopolskie
951;18;1;17;1065;1126;14209;2543;1014;1454;75;t32;20210101;NA;Zachodniopomorskie
6945;102;18;84;441;11784;154006;27604;7722;19196;686;t00;20210102;NA;cały kraj
344;10;1;9;14;665;9500;1436;377;1034;25;t02;20210102;NA;Dolnośląskie
471;17;2;15;126;1199;14028;1586;605;949;32;t04;20210102;NA;Kujawsko-pomorskie
280;4;1;3;19;533;6868;1185;315;859;11;t06;20210102;NA;Lubelskie
113;3;3;0;5;425;5032;582;124;450;8;t08;20210102;NA;Lubuskie
604;4;2;2;21;774;9983;2299;633;1613;53;t10;20210102;NA;Łódzkie
281;0;0;0;7;324;5540;1449;303;1093;53;t12;20210102;NA;Małopolskie
1046;15;4;11;65;1587;23612;3946;1141;2648;157;t14;20210102;NA;Mazowieckie
182;2;0;2;13;316;3213;638;193;430;15;t16;20210102;NA;Opolskie
217;2;0;2;6;265;3890;1110;245;859;6;t18;20210102;NA;Podkarpackie
173;11;1;10;10;286;3708;598;181;414;3;t20;20210102;NA;Podlaskie
787;0;0;0;26;1011;13966;2465;832;1534;99;t22;20210102;NA;Pomorskie
431;7;0;7;22;842;12076;1874;483;1348;43;t24;20210102;NA;Śląskie
98;0;0;0;1;138;2261;863;142;689;32;t26;20210102;NA;Świętokrzyskie
321;0;0;0;20;833;10656;915;343;562;10;t28;20210102;NA;Warmińsko-mazurskie
915;24;4;20;60;1518;16771;3063;1001;1982;80;t30;20210102;NA;Wielkopolskie
538;3;0;3;25;891;12886;1529;629;878;22;t32;20210102;NA;Zachodniopomorskie
5739;61;7;54;672;7831;143466;29618;6702;22279;637;t00;20210103;NA;cały kraj
246;0;0;0;16;457;8847;1844;268;1544;32;t02;20210103;NA;Dolnośląskie
673;9;0;9;158;704;13186;2283;794;1432;57;t04;20210103;NA;Kujawsko-pomorskie
207;2;2;0;46;335;6276;1098;249;835;14;t06;20210103;NA;Lubelskie
169;0;0;0;7;269;4579;773;226;527;20;t08;20210103;NA;Lubuskie
292;0;0;0;24;587;9139;1818;342;1418;58;t10;20210103;NA;Łódzkie
200;2;2;0;18;200;5406;1669;228;1407;34;t12;20210103;NA;Małopolskie
903;2;0;2;77;856;22001;3888;1054;2711;123;t14;20210103;NA;Mazowieckie
100;0;0;0;5;141;2949;676;117;545;14;t16;20210103;NA;Opolskie
118;6;0;6;6;166;3583;880;165;709;6;t18;20210103;NA;Podkarpackie
171;0;0;0;4;225;3488;657;187;462;8;t20;20210103;NA;Podlaskie
705;4;0;4;69;808;13031;2795;747;1973;75;t22;20210103;NA;Pomorskie
288;6;1;5;49;693;11407;1837;322;1490;25;t24;20210103;NA;Śląskie
77;0;0;0;8;86;2123;771;109;651;11;t26;20210103;NA;Świętokrzyskie
376;5;1;4;24;499;9787;1123;406;696;21;t28;20210103;NA;Warmińsko-mazurskie
495;21;1;20;102;861;15576;2964;658;2273;33;t30;20210103;NA;Wielkopolskie
518;4;0;4;59;801;12078;1730;603;1072;55;t32;20210103;NA;Zachodniopomorskie
4432;42;8;34;338;5310;135305;25436;5225;19574;637;t00;20210104;NA;cały kraj
115;0;0;0;9;299;8174;998;131;852;15;t02;20210104;NA;Dolnośląskie
484;2;0;2;70;483;12384;1584;567;986;31;t04;20210104;NA;Kujawsko-pomorskie
142;1;0;1;20;266;5966;1162;224;918;20;t06;20210104;NA;Lubelskie
96;1;0;1;2;149;4326;571;131;433;7;t08;20210104;NA;Lubuskie
287;0;0;0;23;324;8468;1635;337;1275;23;t10;20210104;NA;Łódzkie
