"kod";"nazwa";"artykul";"spozycie"
"0200000";"DOLNOŚLĄSKIE";"mieso";5,23
"0400000";"KUJAWSKO-POMORSKIE";"mieso";5,48
"0600000";"LUBELSKIE";"mieso";5,6
"0800000";"LUBUSKIE";"mieso";5,83
"1000000";"ŁÓDZKIE";"mieso";5,56
"1200000";"MAŁOPOLSKIE";"mieso";4,96
"1400000";"MAZOWIECKIE";"mieso";5,13
"1600000";"OPOLSKIE";"mieso";5,06
"1800000";"PODKARPACKIE";"mieso";4,91
"2000000";"PODLASKIE";"mieso";6,87
"2200000";"POMORSKIE";"mieso";5,05
"2400000";"ŚLĄSKIE";"mieso";5,38
"2600000";"ŚWIĘTOKRZYSKIE";"mieso";6,3
"2800000";"WARMIŃSKO-MAZURSKIE";"mieso";5,57
"3000000";"WIELKOPOLSKIE";"mieso";4,7
"3200000";"ZACHODNIOPOMORSKIE";"mieso";5,87
"0200000";"DOLNOŚLĄSKIE";"owoce";3,9
"0400000";"KUJAWSKO-POMORSKIE";"owoce";3,34
"0600000";"LUBELSKIE";"owoce";3,81
"0800000";"LUBUSKIE";"owoce";3,83
"1000000";"ŁÓDZKIE";"owoce";3,79
"1200000";"MAŁOPOLSKIE";"owoce";3,55
"1400000";"MAZOWIECKIE";"owoce";4,03
"1600000";"OPOLSKIE";"owoce";3,69
"1800000";"PODKARPACKIE";"owoce";3,18
"2000000";"PODLASKIE";"owoce";3,86
"2200000";"POMORSKIE";"owoce";3,83
"2400000";"ŚLĄSKIE";"owoce";3,63
"2600000";"ŚWIĘTOKRZYSKIE";"owoce";3,41
"2800000";"WARMIŃSKO-MAZURSKIE";"owoce";3,34
"3000000";"WIELKOPOLSKIE";"owoce";3,17
"3200000";"ZACHODNIOPOMORSKIE";"owoce";4,07
"0200000";"DOLNOŚLĄSKIE";"warzywa";8,47
"0400000";"KUJAWSKO-POMORSKIE";"warzywa";8,48
"0600000";"LUBELSKIE";"warzywa";10,19
"0800000";"LUBUSKIE";"warzywa";8,37
"1000000";"ŁÓDZKIE";"warzywa";9,04
"1200000";"MAŁOPOLSKIE";"warzywa";8,18
"1400000";"MAZOWIECKIE";"warzywa";8,34
"1600000";"OPOLSKIE";"warzywa";9,34
"1800000";"PODKARPACKIE";"warzywa";9,36
"2000000";"PODLASKIE";"warzywa";10,6
"2200000";"POMORSKIE";"warzywa";8,07
"2400000";"ŚLĄSKIE";"warzywa";8,03
"2600000";"ŚWIĘTOKRZYSKIE";"warzywa";10,14
"2800000";"WARMIŃSKO-MAZURSKIE";"warzywa";8,43
"3000000";"WIELKOPOLSKIE";"warzywa";7,22
"3200000";"ZACHODNIOPOMORSKIE";"warzywa";9,38
